תאריך,גוף מזמין,גוף מבצע,סוג הסקר,כמות נסקרים,14,15,16,17,18,19,20,21,22,23,24,25,26
01/01/2015,וואלה,טלסקר,מדגם,500,26,7,16,9,8,0,7,6,23,7,5.5,0,5.5
01/01/2015,רשת ב,רפי סמית,מדגם,500,23,7,16,9,9,0,7,7,24,7,5.5,0,5.5
31/12/2014,גלי ישראל,פאנלס פוליטיקס,פאנל,500,24,6,16,10,9,0,8,6,23,6,6,0,6
30/12/2014,מקור ראשון,מאגר מוחות - יצחק כץ,מדגם,500,23,7,17,8,8,4,8,6,24,6,4,0,4
30/12/2014,גלובס,רפי סמית,מדגם,500,22,7,16,9,10,0,7,7,24,7,3.5,0,3.5
30/12/2014,ערוץ 10,דיאלוג - קמיל פוקס,פאנל,500,21,7,17,9,10,4,7,5,23,6,5.5,0,5.5
29/12/2014,ערוץ הכנסת,פאנלס פוליטיקס,פאנל,503,23,5,16,10,9,0,8,5,24,8,6,0,6
28/12/2014,ערוץ 2,מינה צמח,פאנל,500,24,8,16,9,10,0,7,6,24,5,5.5,0,5.5
25/12/2014,רשת ב,רפי סמית,מדגם,570,23,8,17,8,9,0,7,8,23,6,6,0,5
25/12/2014,וואלה,טלסקר,מדגם,500,24,10,15,9,10,4,5,4,23,6,5,0,5
25/12/2014,מעריב-סופהשבוע,פאנלס פוליטיקס,פאנל,534,23,5,17,11,7,4,7,4,24,7,6,0,5
